"""Nagga's Cradle""","""娜伽摇篮湾""","""""","""""",""""""
"""Robert Strong""","""劳勃·斯壮""","""""","""""",""""""
"""Weirwood paste""","""鱼梁木籽糊""","""""","""""",""""""
"""Lucerys Velaryon""","""路斯里斯·瓦列利安(海政大臣)""","""""","""""",""""""
"""Ten Towers""","""十塔城""","""""","""""",""""""
"""Lusty Lad""","""风流少年""","""""","""""",""""""
"""Battle of Long Lake""","""长湖之战""","""""","""""",""""""
"""Duncan Strong""","""邓肯·斯壮""","""""","""""",""""""
"""Jojen Reed""","""玖健·黎德""","""""","""""",""""""
"""Bitterbridge""","""苦桥""","""""","""""",""""""
"""Duncan Targaryen""","""邓肯·坦格利安""","""""","""""",""""""
"""Raymun Fossoway""","""雷蒙·佛索威""","""""","""""",""""""
"""Rills""","""溪流地""","""""","""""",""""""
"""Vinetown""","""蔓藤镇""","""""","""""",""""""
"""Cleos Frey""","""克里奥·佛雷""","""""","""""",""""""
"""Grey Cliffs""","""大峭壁""","""""","""""",""""""
"""Quentyn Martell""","""昆廷·马泰尔""","""""","""""",""""""
"""House Harroway""","""哈罗威家族""","""""","""""",""""""
"""Broken Anvil""","""破铁砧""","""""","""""",""""""
"""Wrath""","""暴怒""","""""","""""",""""""
"""Mor","""莱斯威尔家族""","""""","""""",""""""
"""House Farring""","""法林家族""","""""","""""",""""""
"""Frenken""","""法兰肯""","""""","""""",""""""
"""Battle of the Green Fork""","""绿叉河之战""","""""","""""",""""""
"""Rainwood""","""雨林""","""""","""""",""""""
"""Sea of Dorne""","""多恩海""","""""","""""",""""""
"""Rorge""","""罗尔杰""","""""","""""",""""""
"""Shadowcat""","""影子山猫""","""""","""""",""""""
"""Hand of the King""","""国王之手""","""""","""""",""""""
"""Greyscale""","""灰鳞病""","""""","""""",""""""
"""Feathered Kiss""","""羽之吻号""","""""","""""",""""""
"""Robert Paege""","""劳勃·培吉""","""""","""""",""""""
"""Crunch""","""嘎吱""","""""","""""",""""""
"""Arwood Frey""","""阿伍德·佛雷""","""""","""""",""""""
"""Talea""","""泰丽亚""","""""","""""",""""""
"""House Lannister of Darry""","""戴瑞城的兰尼斯特家族""","""""","""""",""""""
"""Alys Targaryen""","""亚丽·艾林(雷格之妻)""","""""","""""",""""""
"""Lorn Point""","""凄凉岬""","""""","""""",""""""
"""Ravella Swann""","""拉文娜·史文""","""""","""""",""""""
"""Eddard Stark""","""艾德·史塔克""","""""","""""",""""""
"""Balon Botley""","""巴隆·波特利""","""""","""""",""""""
"""Hugor of the Hill""","""丘陵之王胡戈""","""""","""""",""""""
"""House of Hazkar""","""哈扎卡家族""","""""","""""",""""""
"""Hornwood""","""霍伍德城""","""""","""""",""""""
"""Mother Rhoyne""","""母亲河洛恩""","""""","""""",""""""
"""Chella""","""齐拉""","""""","""""",""""""
"""Bran Stark""","""布兰·史塔克""","""""","""""",""""""
"""Northern mountain clans""","""山地氏族部落""","""""","""""",""""""
"""Bryan Fossoway""","""布赖恩·佛索威""","""""","""""",""""""
"""Sefton Staunton""","""赛夫顿·斯汤顿""","""""","""""",""""""
"""Alfyn Crowkiller""","""“猎鸦”阿夫因""","""""","""""",""""""
"""Bay of Ice""","""寒冰湾""","""""","""""",""""""
"""Black Wall""","""黑墙""","""""","""""",""""""
"""Pendric Hills""","""彭德瑞丘陵""","""""","""""",""""""
"""Red Oarsman""","""红桨手""","""""","""""",""""""
"""Edric Dayne""","""艾德瑞克·戴恩""","""""","""""",""""""
"""Hareth (maester)""","""哈里士(大学士)""","""""","""""",""""""
"""Dorea Sand""","""多娜·沙德""","""""","""""",""""""
"""Mors Martell""","""莫尔斯·马泰尔""","""""","""""",""""""
"""Stormlands""","""风暴地""","""""","""""",""""""
"""Donella Manderly""","""唐娜拉·曼德勒""","""""","""""",""""""
"""Briarwhite""","""白荆庄""","""""","""""",""""""
"""dragon egg""","""龙蛋""","""""","""""",""""""
"""Conclave""","""枢机会""","""""","""""",""""""
"""Guyard Morrigen""","""古德·莫里根""","""""","""""",""""""
"""Yorko Terys""","""约寇·特里斯""","""""","""""",""""""
"""Valysar""","""瓦利萨""","""""","""""",""""""
"""The Song of the Seven""","""七神之歌""","""""","""""",""""""
"""Lands of the Long Summer""","""长夏之地""","""""","""""",""""""
"""Lymond Vikary""","""莱蒙·维卡瑞""","""""","""""",""""""
"""Arryk Cargyll""","""亚历克·卡盖尔""","""""","""""",""""""
"""House Hunt""","""亨特家族""","""""","""""",""""""
"""Common Tongue""","""通用语""","""""","""""",""""""
"""Hugh Beesbury""","""修夫·毕斯柏里""","""""","""""",""""""
"""Selhoru""","""赛荷鲁江""","""""","""""",""""""
"""Casso Mogat""","""卡索·摩格特""","""""","""""",""""""
"""Oros""","""奥罗斯""","""""","""""",""""""
"""House Stokeworth""","""史铎克渥斯家族""","""""","""""",""""""
"""Norne Goodbrother""","""纽恩·古柏勒""","""""","""""",""""""
"""Triston Hightower""","""崔斯顿·海塔尔""","""""","""""",""""""
"""Kym""","""凯姆(学士)""","""""","""""",""""""
"""Ayrmidon""","""伊弥顿""","""""","""""",""""""
"""Narbo""","""小纳博""","""""","""""",""""""
"""Manfryd Mooton""","""曼佛利·慕顿""","""""","""""",""""""
"""Melisandre""","""梅丽珊卓""","""""","""""",""""""
佛雷","","",""
"Bennarion Botley","本利昂·波特利","","",""
"Merion","梅龙","","",""
"House Flint of Widow's Watch","寡妇望的菲林特家族","","",""
"Bountiful Harvest","丰收号","","",""
"298AC","298AC","","",""
"House Mertyns","梅泰林家族","","",""
"Battle of Moat Cailin","偷袭卡林湾","","",""
"Lyonel Tyrell (lord)","莱昂诺·提利尔(戴伦一世)","","",""
"Nunny","纳尼","","",""
"Stiv","史帝夫","","",""
"Martyn Rivers","马丁·河文","","",""
"Wendamyr","温达米尔","","",""
"Marq Mandrake","马柯·曼达克","","",""
"Lord Faro's Belly","法罗神之腹号","","",""
"King of Mountain and Vale","山谷之王","","",""
"Daznak's Pit","达兹纳克竞技场","","",""
"Isle of Tears","眼泪岛","","",""
"Garse","高斯","","",""
"Jothiel’s Pit","约锡尔斗技场","","",""
"House Blanetree","班树家族","","",""
"Kingsguard","御林铁卫","","",""
"Aegon Targaryen (disambiguation)","伊耿·坦格利安(消歧义)","","",""
"the Princess and the Queen","公主与王后","","",""
"Kyle","凯勒","","",""
"Mors Manwoody","莫尔斯·曼伍笛","","",""
"Ryman Frey","莱曼·佛雷","","",""
"Steffon Seaworth","史蒂芬·席渥斯","","",""
"Peake Uprising","培克叛乱","","",""
"Land of the Shrykes","伯劳鸟之地","","",""
"Faros","法罗丝","","",""
"House Blacktyde","布莱克泰斯家族","","",""
"Aemon Targaryen (disambiguation)","伊蒙·坦格利安(消歧义)","","",""
"Lyarra Stark","莱安蕊·史塔克","","",""
"Torrhen's Square","托伦方城","","",""
"Denys Redwyne","戴尼斯·雷德温","","",""
"Jorah Stark","乔拉·史塔克","","",""
"House Buckwell","布克威尔家族","","",""
"Mortimer Boggs","莫蒂默·鲍格斯","","",""
"Starpike","星梭城","","",""
"Matthos Seaworth","马索斯·席渥斯","","",""
"Aelinor Penrose","艾林诺·庞洛斯","","",""
"Guncer Sunglass","冈瑟·桑格拉斯","","",""
"Ricasso","里卡索","","",""
"Tansy (orphan)","艾菊(孤儿)","","",""
"Taena of Myr","密尔的坦妮娅","","",""
"Casper Wylde","卡斯伯·威尔德","","",""
"Harwin Strong","哈尔温·斯壮","","",""
"Jeyne Lothston","简妮·罗斯坦","","",""
"Tion Frey","提恩·佛雷","","",""
"Trident Three","三叉戟号","","",""
"Crowns (object)","冠冕","","",""
"Dorne","多恩","","",""
"Dermot","德莫特","","",""
"Widow's blood","寡妇之血","","",""
"Customs","习俗","","",""
"Alyn (Rosewood)","玫瑰林的埃林","","",""
"Porridge","麦片粥","","",""
"Sylwa Paege","索娃·培吉","","",""
"Hathay","象车","","",""
"Alys Beesbury","亚丽·毕斯柏里","","",""
"Elia Sand","伊莉亚·沙德","","",""
"Luke","卢克","","",""
"Illyrio's manse","伊利里欧的宅子","","",""
"Leona Woolfield","里雅·渥尔菲","","",""
"Othor","奥瑟","","",""
"Checkered Hazard","多变轮盘","","",""
"Ralf the Limper","“跛子”拉弗","","",""
"Shella Whent","希拉·河安","","",""
"Driftwood Hall","浮木厅","","",""
"Tyta Frey","坦雅·佛雷","","",""
"Roland II Arryn","罗兰·艾林二世","","",""
"Alyn","埃林","","",""
"Shiera Crakehall","西蕊·克雷赫","","",""
"Milkwater","乳河","","",""
"Jory Cassel","乔里·凯索","","",""
"Mountains of the Morn","破晓山脉","","",""
"House Tarth","塔斯家族","","",""
"Seven Skulls","七颗头骨号","","",""
"Lord Harroway's Town","哈罗威伯爵的小镇","","",""
"Stone Cow of Faros","法罗斯的石牛","","",""
"Eustace Brune","尤斯塔斯·布伦","","",""
"Pussywillows","褐柳院","","",""
"House Greyjoy","葛雷乔伊家族","","",""
"Dagmer","达格摩","","",""
"Prostitution","性交易","","",""
"Gwayne Corbray","加尔温·科布瑞","","",""
"Yezzan zo Qaggaz","亚赞·佐·夸格兹","","",""
"Bethany Blackwood","蓓珊妮·布莱伍德","","",""
"The Neck","颈泽","","",""
"Morgan Liddle","莫甘·里德尔","","",""
"Qohor","科霍尔","","",""
"Massey's Hook","马赛岬","","",""
"Orton Merryweather","奥顿·玛瑞魏斯","","",""
"Courtesan","交际花","","",""
"Quaithe","魁蜥","","",""
"House Wells (the North)","北境的威尔斯家族","","",""
"Khaleesi","卡丽熙","","",""
"Dungeons (Great Pyramid)","地牢(大金字塔)","","",""
"Uthor Underleaf","乌瑟·昂德里夫","","",""
"Wat (Wet)","渥特(湿)","","",""
"Wolf's Den","狼穴","","",""
"House Paege","培吉家族","","",""
"House Burley","伯莱利氏族","","",""
"Catelyn Tully","凯特琳·徒利","","",""
"House Tollett","托勒特家族","","",""
"Luceon Frey","卢琛·佛雷","","",""
"House Toland","托兰家族","","",""
"King's Tower","国王塔","","",""
"Wynton Stout","文顿·史陶","","",""
"Delena Florent","狄丽娜·佛罗伦","","",""
"Othell Yarwyck","奥赛尔·亚威克","","",""
"Battle at the Red Fork","红叉河之战(血龙狂舞)","","",""
"Erren Florent","伊伦·佛罗伦","","",""
"Cass","卡丝","","",""
"Seastrider","破浪号","","",""
"Osgood Arryn","奥斯古德·艾林","","",""
"Josmyn Peckledon","乔斯敏·派克顿","","",""
"Norjen","诺京","","",""
"Wyman Webber","威曼·维伯","","",""
"Aegon Targaryen (son of Aenys I)","伊耿·坦格利安(伊尼斯一世之子)","","",""
"Jon Bulwer","琼恩·布尔威","","",""
"Alys Stark","亚丽·史塔克","","",""
"Vulture's Roost","鹰穴堡","","",""
"Ironwood","铁树","","",""
"Milk of the poppy","罂粟花奶","","",""
"Plants","植物","","",""
"Hoke","霍克","","",""
"Antario Jast","安塔诺·贾斯特","","",""
"Roger Blackwood","罗尔杰·布莱伍德","","",""
"Arianne Martell","亚莲恩·马泰尔","","",""
"Toregg","托雷格","","",""
"Faircastle","仙女城","","",""
"Mummer's Ford","戏子滩","","",""
"Sybell Spicer","希蓓儿·斯派瑟","","",""
"The Mother's Tears","圣母的眼泪","","",""
"Tristan Rivers","崔斯坦·河文","","",""
"Meryn Trant","马林·特兰","","",""
"War of the First Men and the Children of the Forest","先民与森林之子的战争","","",""
"High Septon (Fat One)","总主教(胖子)","","",""
"Doniphos Paenymion","多法斯·潘尼米恩","","",""
"Rolland Longthorpe","罗兰德·郎多普","","",""
"Lucas Codd","卢卡斯·考德","","",""
"Haegon Blackfyre","哈耿·黑火","","",""
"Jon Lothston","琼恩·罗斯坦","","",""
"Emmon Cuy","埃蒙·库伊","","",""
"Jommy","乔米","","",""
"Qarl","科尔","","",""
"The greens","绿党","","",""
"Frostfires","冷霜火","","",""
"Stone Head","石首岛","","",""
"Marwyn Belmore","马文·贝尔摩","","",""
"Sloey","斯洛伊","","",""
"Kingswood","御林","","",""
"The Shady Glen","幽影谷","","",""
"Vermithor","沃米索尔","","",""
"Rhaenys Targaryen (The Queen Who Never Was)","雷妮丝·坦格利安(伊蒙之女)","","",""
"Battle of Riverrun","奔流城遭遇战","","",""
"Amerei Frey","阿蕊丽·佛雷","","",""
"Jon Myre","琼恩·密瑞","","",""
"K'Dath","卡达什","","",""
"Golden Dragon","金龙号","","",""
"House Butterwell","巴特威家族","","",""
"Baelon Targaryen","贝尔隆·坦格利安(消歧义)","","",""
"Bael","“吟游诗人”贝尔","","",""
"First Men","先民","","",""
"Brair","荆棘","","",""
"House Yew","宇家族","","",""
"House Wode","渥德家族","","",""
"Poison Sea","毒海","","",""
"Skinner","剥皮人","","",""
"Desmond Redwyne","戴斯蒙·雷德温","","",""
"The She-Wolves of Winterfell","临冬城的母狼","","",""
"Finger dance","手指舞","","",""
"Mirri Maz Duur","弥丽·马兹·笃尔","","",""
"Mors Westford","莫尔斯·维斯特福德","","",""
"Edrick Stark","艾德利克·史塔克","","",""
"Prestayn","普莱斯坦","","",""
"Elys Waynwood","伊利·韦伍德","","",""
"Battle in the Gullet","喉道海战","","",""
"Great Walrus","大海象","","",""
"Wolfswood","狼林","","",""
"The Bloody Cup","血杯","","",""
"Robert Frey","劳勃·佛雷","","",""
"Rickon Stark (son of Cregan)","瑞肯·史塔克(克雷根之子)","","",""
"Sceptre","王权号","","",""
"The Winds of Winter","凛冬的寒风","","",""
"Windblown","风吹团","","",""
"Jon Umber (Greatjon)","琼恩·安柏(大琼恩)","","",""
"Game of Thrones - A Telltale Games Series","权力的游戏(Telltale系列游戏)","","",""
"Shrinking Sea","萎海","","",""
"Jynessa Blackm"""Andalos""","""安达斯""","""""","""""",""""""
"""Lambswold""","""羊肠镇""","""""","""""",""""""
"""House Darklyn""","""达克林家族""","""""","""""",""""""
"""Theo Charlton""","""席奥·查尔顿""","""""","""""",""""""
"""Gulltown""","""海鸥镇""","""""","""""",""""""
"""Dancy""","""丹晰""","""""","""""",""""""
"""Gorghan of Old Ghis""","""高艮""","""""","""""",""""""
"""Lyonel Baratheon""","""莱昂诺·拜拉席恩""","""""","""""",""""""
"""Joramun""","""乔曼""","""""","""""",""""""
"""Chett""","""齐特""","""""","""""",""""""
"""The Last of the Giants""","""最后的巨人""","""""","""""",""""""
"""Androw Frey""","""安德鲁·佛雷""","""""","""""",""""""
"""Dreams and prophecies""","""梦和预言""","""""","""""",""""""
"""Ravishment""","""狂喜原""","""""","""""",""""""
"""Moryn Tyrell""","""莫林·提利尔""","""""","""""",""""""
"""Jon (disambiguation)""","""琼恩(消歧义)""","""""","""""",""""""
"""Sunflower Hall""","""阳屋城""","""""","""""",""""""
"""Prince of Dragonstone""","""龙石岛亲王""","""""","""""",""""""
"""Oswin Arryn""","""奥斯温·艾林""","""""","""""",""""""
"""bear-paws""","""熊掌""","""""","""""",""""""
"""Lady (direwolf)""","""淑女""","""""","""""",""""""
"""House Cray""","""喀雷家族""","""""","""""",""""""
"""Topaz Emperor""","""黄晶帝""","""""","""""",""""""
"""True Tongue""","""源语""","""""","""""",""""""
"""Denyo Terys""","""德尼奥·特里斯""","""""","""""",""""""
"""Faith Militant uprising""","""教团武装起事""","""""","""""",""""""
"""Symeon Star-Eyes""","""“星眼”赛米恩""","""""","""""",""""""
"""Squinty Jeyne""","""斜眼珍妮""","""""","""""",""""""
"""Harlaw Hall""","""哈尔洛厅""","""""","""""",""""""
"""Ossifer Plumm""","""奥斯菲·普棱""","""""","""""",""""""
"""Grisel""","""吉赛尔""","""""","""""",""""""
"""Colin Florent""","""柯林·佛罗伦""","""""","""""",""""""
"""House Kenning of Kayce""","""凯切镇的肯宁家族""","""""","""""",""""""
"""Mormont's raven""","""莫尔蒙的渡鸦""","""""","""""",""""""
"""Sandbeggar""","""沙漠乞丐""","""""","""""",""""""
"""Saathos Saan""","""萨索斯·桑恩""","""""","""""",""""""
"""Perkin""","""佩金""","""""","""""",""""""
"""Darry (river)""","""戴瑞河""","""""","""""",""""""
"""House Tawney""","""陶尼家族""","""""","""""",""""""
"""Blackfyre Rebellion""","""黑火叛乱""","""""","""""",""""""
"""Gate of the Gods""","""诸神门""","""""","""""",""""""
"""The Night That Ended""","""终结长夜""","""""","""""",""""""
"""Romny Weaver""","""罗姆尼·维纺""","""""","""""",""""""
"""Medwick Tyrell""","""梅德威克·提利尔""","""""","""""",""""""
"""Qhorin Halfhand""","""断掌科林""","""""","""""",""""""
"""Joanna Lannister""","""乔安娜·兰尼斯特""","""""","""""",""""""
"""Margaery Tyrell""","""玛格丽·提利尔""","""""","""""",""""""
"""Rohanne of Tyrosh""","""泰洛西的罗翰妮""","""""","""""",""""""
"""On a Misty Morn""","""迷雾的清晨""","""""","""""",""""""
"""Wylla Manderly""","""薇拉·曼德勒""","""""","""""",""""""
"""Maggy""","""巫姬""","""""","""""",""""""
"""Darkwash""","""暗流河""","""""","""""",""""""
"""Rodrik Greyjoy""","""罗德利克·葛雷乔伊""","""""","""""",""""""
"""Nyel""","""尼尔""","""""","""""",""""""
"""Willam Stark""","""威廉·史塔克""","""""","""""",""""""
"""Tower of Ghosts""","""厉鬼塔""","""""","""""",""""""
"""Edwyle Stark""","""艾德勒·史塔克""","""""","""""",""""""
"""Larence Snow""","""劳伦斯·雪诺""","""""","""""",""""""
"""Tytos Brax""","""泰陀斯·布拉克斯""","""""","""""",""""""
"""Trystane Martell""","""崔斯丹·马泰尔""","""""","""""",""""""
"""Urho""","""乌霍""","""""","""""",""""""
"""Simon Staunton""","""西蒙·斯汤顿""","""""","""""",""""""
"""House Foote of Nightsong""","""夜歌城的福特家族""","""""","""""",""""""
"""Muddy Hall""","""泥厅""","""""","""""",""""""
"""Joseth""","""乔赛斯""","""""","""""",""""""
"""Stoney Sept""","""石堂镇""","""""","""""",""""""
"""Tion Tarbeck""","""提恩·塔贝克""","""""","""""",""""""
"""House Ashford""","""岑佛德家族""","""""","""""",""""""
"""Seven Swords""","""七剑客栈""","""""","""""",""""""
"""Seven Drunken Oarsmen""","""醉酒七桨手""","""""","""""",""""""
"""Ashford Meadow""","""岑树滩草场""","""""","""""",""""""
